From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm),Xylene (ug/m3)
2015-10-01 09:00:00,2015-10-01 10:00:00,,,0.1,0.2,0.3,2.5,0.1,0.02,3.2,,,31.6,66.0,1.5,37.0,365.0,716.0,-0.1,28.4,0.0,
2015-10-01 10:00:00,2015-10-01 11:00:00,38.0,101.0,0.1,9.75,3.82,29.77,2.97,1.31,6.3,0.5,2.05,31.3,63.75,2.12,33.25,461.0,716.0,-0.1,28.9,0.0,0.65
2015-10-01 11:00:00,2015-10-01 12:00:00,35.0,100.0,2.47,33.53,18.2,54.13,0.1,1.25,3.37,0.93,4.67,32.07,63.0,2.47,32.0,509.33,716.0,-0.1,29.0,0.0,0.37
2015-10-01 12:00:00,2015-10-01 13:00:00,29.5,92.5,2.47,36.1,19.45,39.43,21.9,0.16,27.6,1.0,4.97,32.9,61.75,2.07,33.5,373.25,716.0,-0.1,29.3,0.0,0.7
2015-10-01 13:00:00,2015-10-01 14:00:00,27.75,75.75,1.4,32.35,16.9,21.12,2.8,0.64,32.42,1.03,4.7,32.45,58.25,1.53,38.25,377.75,716.0,-0.1,30.22,0.0,1.1
2015-10-01 14:00:00,2015-10-01 15:00:00,18.25,75.75,1.8,42.55,22.1,29.25,5.35,0.62,35.5,1.03,4.38,32.1,58.0,1.72,32.5,298.25,715.75,-0.1,30.03,0.0,0.83
2015-10-01 15:00:00,2015-10-01 16:00:00,22.75,85.25,2.0,51.97,26.78,30.9,3.65,0.36,34.9,1.1,4.88,33.38,61.25,1.72,37.5,48.5,716.0,-0.1,28.95,0.0,1.0
2015-10-01 16:00:00,2015-10-01 17:00:00,32.5,106.25,2.05,51.23,26.47,30.62,4.65,0.63,26.33,1.88,10.3,33.8,67.0,1.62,45.5,10.5,716.0,-0.1,27.45,0.0,21.95
2015-10-01 17:00:00,2015-10-01 18:00:00,28.75,96.75,1.75,54.27,27.75,26.83,2.73,2.67,8.88,2.55,8.05,32.57,72.25,1.17,41.0,7.25,715.5,-0.1,25.95,0.0,10.25
2015-10-01 18:00:00,2015-10-01 19:00:00,31.33,79.67,1.9,67.5,34.27,26.97,6.37,2.22,57.27,2.47,8.07,31.67,73.0,1.37,37.33,4.0,716.0,-0.1,25.7,0.0,3.83
2015-10-01 19:00:00,2015-10-01 20:00:00,35.5,93.5,2.83,76.12,39.2,26.28,7.25,1.33,22.58,2.38,8.55,31.82,74.0,0.98,30.75,4.0,716.0,-0.1,25.58,0.0,3.6
2015-10-01 20:00:00,2015-10-01 21:00:00,46.25,104.75,2.45,78.0,39.8,23.6,4.95,1.18,0.1,2.23,8.95,32.27,73.5,1.42,35.0,4.0,716.0,-0.1,25.85,0.0,4.38
2015-10-01 21:00:00,2015-10-01 22:00:00,45.5,97.0,2.15,85.0,43.0,21.55,5.1,1.31,14.8,2.3,9.55,32.23,72.5,1.72,34.25,4.0,716.0,-0.1,26.03,0.0,4.05
2015-10-01 22:00:00,2015-10-01 23:00:00,40.5,92.5,2.4,82.6,42.0,23.18,6.02,0.89,12.38,2.17,9.1,32.2,73.75,0.97,43.5,4.0,716.0,-0.1,25.72,0.0,4.42
2015-10-01 23:00:00,2015-10-02 00:00:00,39.0,88.0,1.9,69.0,35.0,24.4,5.5,1.65,8.47,2.0,7.87,32.2,76.67,0.73,43.67,4.0,716.0,-0.1,25.07,0.0,3.63
2015-10-02 00:00:00,2015-10-02 01:00:00,26.75,70.0,2.05,53.62,27.65,26.95,7.1,0.02,14.87,1.7,6.4,31.8,78.5,0.4,32.25,4.0,716.0,-0.1,24.55,0.0,2.6
2015-10-02 01:00:00,2015-10-02 02:00:00,22.75,50.0,2.52,46.8,24.65,25.93,8.25,0.02,15.1,1.15,4.52,31.63,79.0,0.75,33.5,4.0,716.0,-0.1,24.47,0.0,1.6
2015-10-02 02:00:00,2015-10-02 03:00:00,22.0,53.0,2.17,43.53,22.8,25.43,8.4,0.02,14.77,0.87,4.0,31.6,79.67,0.8,35.0,4.0,716.0,-0.1,24.47,0.0,0.27
2015-10-02 03:00:00,2015-10-02 04:00:00,19.5,41.25,2.12,42.02,22.03,24.28,7.65,0.23,27.15,0.67,2.63,31.92,78.25,1.3,34.0,4.0,716.0,-0.1,24.37,0.0,0.5
2015-10-02 04:00:00,2015-10-02 05:00:00,17.25,35.5,1.92,44.3,23.0,22.25,7.73,0.02,16.35,0.58,1.77,32.3,79.0,1.3,30.75,4.0,716.0,-0.1,24.27,0.0,0.38
2015-10-02 05:00:00,2015-10-02 06:00:00,14.0,42.0,2.3,42.35,22.33,21.43,8.07,0.02,18.18,0.55,2.55,32.32,79.75,1.2,31.25,4.0,716.0,-0.1,24.05,0.0,0.53
2015-10-02 06:00:00,2015-10-02 07:00:00,12.5,42.0,2.28,41.4,21.88,22.15,8.15,0.02,15.65,0.53,2.6,32.32,79.75,0.95,33.75,12.75,716.0,-0.1,24.03,0.0,0.4
2015-10-02 07:00:00,2015-10-02 08:00:00,18.0,50.0,2.23,40.8,21.52,22.2,6.68,1.76,15.95,0.55,3.4,32.33,77.0,1.23,33.75,66.0,716.0,-0.05,24.55,0.0,0.48
2015-10-02 08:00:00,2015-10-02 09:00:00,19.5,48.75,2.33,41.4,21.9,21.78,6.25,1.98,16.65,0.6,2.75,31.8,73.0,1.1,36.75,137.25,716.5,-0.1,25.7,0.0,0.38
2015-10-02 09:00:00,2015-10-02 10:00:00,14.25,53.5,2.0,40.35,21.12,21.45,6.52,2.37,17.9,1.35,2.43,31.68,69.5,1.25,40.25,191.25,717.0,-0.1,26.6,0.0,0.1
2015-10-02 10:00:00,2015-10-02 11:00:00,15.33,56.0,2.43,37.77,20.17,21.5,8.13,1.07,19.87,1.2,3.37,31.7,67.67,1.1,29.0,213.67,717.0,-0.1,27.27,0.0,0.2
2015-10-02 11:00:00,2015-10-02 12:00:00,21.0,64.67,2.27,36.73,19.6,20.93,5.03,0.65,27.0,1.23,4.23,32.2,63.33,1.47,35.33,345.0,716.67,-0.1,28.47,0.0,1.03
2015-10-02 12:00:00,2015-10-02 13:00:00,20.67,77.33,2.43,30.27,16.57,18.3,5.53,1.46,35.13,1.23,4.97,32.4,60.67,1.03,42.33,478.67,716.0,-0.1,29.73,0.0,1.43
2015-10-02 13:00:00,2015-10-02 14:00:00,23.75,104.75,2.6,27.3,15.22,13.45,7.63,0.98,39.75,2.23,8.77,32.32,58.25,1.42,32.75,493.5,716.0,-0.1,30.0,0.0,2.83
2015-10-02 14:00:00,2015-10-02 15:00:00,22.5,118.25,2.4,37.25,19.93,17.5,6.45,0.72,38.8,1.9,8.02,32.32,55.75,1.4,34.25,441.75,716.0,-0.1,30.95,0.0,2.55
2015-10-02 15:00:00,2015-10-02 16:00:00,21.0,116.0,2.33,39.83,21.13,17.13,6.7,0.43,37.67,1.93,8.4,32.17,56.33,1.33,37.33,271.67,716.0,-0.1,30.53,0.0,2.27
2015-10-02 16:00:00,2015-10-02 17:00:00,28.67,130.67,2.2,42.53,22.37,18.67,6.7,1.25,36.53,1.67,9.17,32.27,56.0,1.33,41.33,135.67,716.0,-0.1,30.27,0.0,7.23
2015-10-02 17:00:00,2015-10-02 18:00:00,31.5,119.5,2.55,53.62,28.03,16.57,8.28,1.52,26.53,1.72,10.0,31.55,58.0,1.25,32.5,21.5,716.0,-0.1,29.32,0.0,3.55
2015-10-02 18:00:00,2015-10-02 19:00:00,41.0,100.25,2.5,63.27,32.65,17.15,6.75,1.58,19.88,2.0,10.25,31.35,63.5,1.15,31.0,4.0,716.0,-0.1,28.33,0.0,3.9
2015-10-02 19:00:00,2015-10-02 20:00:00,39.5,115.0,2.43,59.4,30.75,17.78,3.52,0.48,17.25,2.25,10.0,31.42,66.25,1.03,30.75,4.0,716.0,-0.1,27.8,0.0,4.42
2015-10-02 20:00:00,2015-10-02 21:00:00,41.25,95.25,2.02,51.38,26.53,18.55,3.27,0.02,9.92,2.12,8.73,32.6,68.75,0.38,27.25,4.0,716.0,-0.1,26.85,0.0,3.55
2015-10-02 21:00:00,2015-10-02 22:00:00,33.0,72.0,2.1,51.57,26.67,16.97,3.43,0.02,7.2,2.33,8.53,32.5,72.33,0.33,27.33,4.0,716.0,-0.1,25.97,0.0,2.9
2015-10-02 22:00:00,2015-10-02 23:00:00,44.0,84.0,1.87,48.32,24.98,17.68,2.38,0.02,6.42,2.68,9.08,32.32,76.0,0.3,23.0,4.0,716.0,-0.1,25.1,0.0,3.55
2015-10-02 23:00:00,2015-10-03 00:00:00,44.33,83.0,2.07,48.4,25.1,18.47,2.8,0.43,6.43,2.8,9.1,32.3,79.0,0.3,30.67,4.0,716.0,-0.1,24.63,0.0,4.27
2015-10-03 00:00:00,2015-10-03 01:00:00,49.33,92.67,2.1,58.93,30.3,18.67,6.93,1.15,7.3,2.77,14.23,31.9,80.33,0.3,44.0,4.0,716.0,-0.1,24.4,0.0,3.57
2015-10-03 01:00:00,2015-10-03 02:00:00,48.0,85.67,2.17,47.9,24.93,19.87,11.17,0.02,6.37,2.27,22.8,31.63,81.67,0.3,44.0,4.0,716.0,-0.1,23.9,0.0,2.13
2015-10-03 02:00:00,2015-10-03 03:00:00,26.0,45.5,2.48,36.08,19.4,19.0,9.95,0.02,50.28,1.45,15.95,31.55,82.0,0.3,45.0,4.0,716.0,-0.1,23.65,0.0,1.05
2015-10-03 03:00:00,2015-10-03 04:00:00,19.0,34.0,2.1,30.6,16.48,19.5,8.38,0.2,22.88,0.88,9.33,31.8,82.5,0.3,45.0,4.0,716.0,-0.1,23.42,0.0,0.5
2015-10-03 04:00:00,2015-10-03 05:00:00,14.5,31.0,1.97,27.57,14.9,18.08,9.65,0.02,7.5,0.65,5.73,32.05,83.0,0.3,44.0,4.0,716.0,-0.1,23.18,0.0,0.4
2015-10-03 05:00:00,2015-10-03 06:00:00,11.33,27.33,2.0,26.63,14.43,17.6,8.23,0.02,7.73,0.57,4.1,32.0,83.67,0.3,42.67,4.0,716.0,-0.1,22.97,0.0,0.6
2015-10-03 06:00:00,2015-10-03 07:00:00,13.25,21.75,2.17,27.0,14.75,18.35,9.88,0.02,7.1,0.5,3.05,32.05,83.75,0.3,43.25,20.25,716.0,-0.1,23.27,0.0,0.4
2015-10-03 07:00:00,2015-10-03 08:00:00,15.75,37.5,2.43,30.75,16.77,19.75,9.77,0.02,11.48,0.85,4.67,32.17,78.0,0.35,42.25,143.75,716.75,-0.1,25.5,0.0,0.23
2015-10-03 08:00:00,2015-10-03 09:00:00,29.25,72.25,2.08,31.4,16.85,20.55,11.05,0.02,29.22,1.45,5.95,31.82,66.0,0.53,34.75,284.0,717.0,-0.1,28.72,0.0,0.43
2015-10-03 09:00:00,2015-10-03 10:00:00,27.0,81.5,2.28,28.33,15.45,19.85,11.83,0.02,45.87,1.15,4.37,31.5,60.5,0.52,39.75,433.0,717.0,-0.1,30.45,0.0,0.35
2015-10-03 10:00:00,2015-10-03 11:00:00,26.5,90.25,2.25,25.7,14.17,18.8,11.83,0.02,60.2,0.95,3.8,31.3,57.75,0.7,47.5,433.25,717.0,-0.1,31.2,0.0,0.45
2015-10-03 11:00:00,2015-10-03 12:00:00,25.0,121.0,0.95,20.35,7.9,17.75,5.65,0.63,33.35,0.9,3.4,31.65,57.5,0.5,20.0,171.5,716.5,-0.1,30.95,0.0,0.4
2015-10-03 12:00:00,2015-10-03 13:00:00,42.0,94.0,1.1,17.6,8.57,18.62,14.25,1.25,83.12,0.78,2.1,32.52,54.75,0.65,41.75,415.25,716.0,-0.1,32.17,0.0,0.4
2015-10-03 13:00:00,2015-10-03 14:00:00,38.5,87.5,2.32,17.08,10.12,13.55,16.88,1.25,69.98,1.5,6.52,32.85,52.0,0.7,41.75,406.5,716.0,-0.1,33.1,0.0,0.9
2015-10-03 14:00:00,2015-10-03 15:00:00,27.5,69.0,1.7,29.77,15.78,16.97,17.67,1.86,35.72,1.13,5.78,32.88,72.5,1.75,41.5,62.75,716.0,-0.1,26.3,1.75,0.3
2015-10-03 15:00:00,2015-10-03 16:00:00,26.0,72.0,2.0,31.97,17.07,16.4,17.27,1.25,23.93,1.37,5.97,33.33,80.33,0.9,45.33,26.0,716.0,-0.1,24.77,0.0,0.27
2015-10-03 16:00:00,2015-10-03 17:00:00,28.25,52.25,2.0,27.7,14.98,17.25,18.85,1.25,23.68,1.37,7.05,31.25,79.25,0.45,45.25,36.0,716.0,-0.1,24.7,0.0,0.97
2015-10-03 17:00:00,2015-10-03 18:00:00,35.75,58.25,1.72,24.4,13.12,17.98,19.28,1.25,21.82,1.15,7.68,30.9,79.25,0.38,43.75,13.75,716.0,-0.1,24.63,0.0,0.52
