From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),RF (mm),AT (degree C),Xylene (ug/m3)
2017-03-01 00:00:00,2017-03-01 01:00:00,65.75,178.0,4.7,40.4,25.35,,18.35,1.44,19.3,1.35,10.27,29.85,55.5,0.3,246.0,16.0,719.0,0.0,0.0,27.3,1.82
2017-03-01 01:00:00,2017-03-01 02:00:00,63.5,157.25,4.15,39.57,24.45,,14.82,1.57,14.4,1.08,8.9,29.95,58.5,0.3,197.0,16.5,719.0,0.0,0.0,26.8,1.92
2017-03-01 02:00:00,2017-03-01 03:00:00,67.0,167.0,4.4,39.6,24.62,,13.55,1.57,60.7,0.88,8.42,29.15,59.25,0.3,196.0,16.25,719.0,0.0,0.0,25.93,1.85
2017-03-01 03:00:00,2017-03-01 04:00:00,65.0,165.5,5.82,42.05,27.1,,13.93,1.45,11.37,0.72,7.93,28.47,54.75,0.33,196.75,16.0,719.0,0.0,0.0,26.07,1.65
2017-03-01 04:00:00,2017-03-01 05:00:00,66.25,160.5,8.4,40.27,28.23,,12.8,1.46,3.7,0.6,7.62,28.4,56.75,0.3,197.0,16.0,719.25,0.0,0.0,25.82,1.65
2017-03-01 05:00:00,2017-03-01 06:00:00,61.0,158.0,7.18,38.2,26.15,,13.25,1.52,6.3,0.6,7.65,28.35,58.5,0.3,197.0,16.0,719.75,0.0,0.0,25.3,1.92
2017-03-01 06:00:00,2017-03-01 07:00:00,60.5,164.0,8.85,38.2,27.55,,13.4,1.4,2.53,0.58,7.95,29.43,62.0,0.3,197.0,18.5,720.0,0.0,0.0,24.92,2.25
2017-03-01 07:00:00,2017-03-01 08:00:00,64.75,216.5,16.97,37.0,33.5,,13.65,1.53,7.42,0.6,8.12,29.7,57.75,0.3,197.0,75.0,717.0,0.0,0.0,26.8,2.45
2017-03-01 08:00:00,2017-03-01 09:00:00,90.0,310.25,21.17,45.75,41.6,,16.48,1.85,26.95,0.63,7.93,29.92,51.0,0.57,153.75,150.0,712.75,0.05,0.0,30.98,2.25
2017-03-01 09:00:00,2017-03-01 10:00:00,105.5,329.0,5.95,46.73,29.7,,18.97,1.43,107.55,0.63,7.7,30.05,47.0,1.5,63.75,227.0,711.75,0.25,0.0,33.9,2.23
2017-03-01 10:00:00,2017-03-01 11:00:00,74.75,212.25,1.08,27.15,15.3,,14.65,0.95,,0.38,4.33,30.8,43.0,1.85,65.25,350.5,712.0,0.3,0.0,35.12,1.38
2017-03-01 11:00:00,2017-03-01 12:00:00,56.25,152.25,4.15,16.03,11.9,,,0.98,,0.25,2.5,30.55,37.5,2.23,55.75,440.0,711.0,0.3,0.0,36.08,0.88
2017-03-01 12:00:00,2017-03-01 13:00:00,45.0,125.0,0.07,8.9,4.33,,13.6,0.66,,0.1,2.07,31.77,35.0,2.03,63.33,460.33,711.0,0.3,0.0,36.8,0.37
2017-03-01 13:00:00,2017-03-01 14:00:00,39.0,110.75,0.2,8.9,4.9,,13.57,0.58,,0.1,2.02,31.03,35.0,2.0,64.75,428.0,710.75,0.4,0.0,37.27,0.28
2017-03-01 14:00:00,2017-03-01 15:00:00,38.25,107.75,0.13,9.0,4.85,,11.17,0.58,177.7,0.1,1.9,31.88,34.75,1.8,74.0,368.25,710.75,0.3,0.0,37.43,0.28
2017-03-01 15:00:00,2017-03-01 16:00:00,37.5,101.25,0.25,9.05,5.03,,12.9,0.52,196.28,0.1,2.28,30.45,35.25,1.85,69.25,264.5,710.75,0.3,0.0,37.28,0.3
2017-03-01 16:00:00,2017-03-01 17:00:00,42.25,101.75,0.55,9.5,5.48,,12.82,0.47,178.03,0.1,1.73,30.28,36.0,1.72,60.0,163.0,711.5,0.25,0.0,36.98,0.28
2017-03-01 17:00:00,2017-03-01 18:00:00,44.25,105.5,0.73,12.48,7.25,,12.45,0.57,144.42,0.1,2.32,30.03,36.25,1.33,73.25,57.5,712.5,0.15,0.0,36.15,0.33
2017-03-01 18:00:00,2017-03-01 19:00:00,48.0,122.25,0.8,15.53,8.9,,11.65,0.8,113.6,0.2,2.77,29.27,36.75,0.95,71.5,16.25,714.0,0.08,0.0,34.7,0.62
2017-03-01 19:00:00,2017-03-01 20:00:00,51.25,144.0,1.33,29.32,16.67,,10.68,1.03,75.17,0.25,3.38,28.03,39.25,1.25,70.5,16.0,714.25,0.13,0.0,33.82,1.22
2017-03-01 20:00:00,2017-03-01 21:00:00,63.33,175.0,1.23,36.97,20.63,,11.4,1.25,77.1,0.33,3.97,27.93,43.33,1.27,65.0,16.0,715.0,0.17,0.0,33.2,2.03
2017-03-01 21:00:00,2017-03-01 22:00:00,67.25,165.5,1.53,36.98,20.9,,9.43,1.31,78.27,0.35,4.07,27.9,46.5,0.8,65.5,16.0,715.5,0.05,0.0,32.35,2.25
2017-03-01 22:00:00,2017-03-01 23:00:00,66.0,168.0,1.65,40.45,22.88,,10.92,1.42,56.6,0.4,4.48,29.15,49.5,0.6,60.0,16.0,716.75,0.03,0.0,30.95,2.48
2017-03-01 23:00:00,2017-03-02 00:00:00,73.0,183.75,2.88,65.9,37.4,,11.27,1.72,25.03,0.48,5.35,29.68,49.25,0.67,60.75,16.0,717.0,0.0,0.0,30.9,3.07
2017-03-02 00:00:00,2017-03-02 01:00:00,84.0,208.25,3.07,48.5,28.32,,11.37,1.55,53.57,0.5,5.75,29.62,53.25,0.4,94.75,16.0,717.25,0.0,0.0,30.0,3.3
2017-03-02 01:00:00,2017-03-02 02:00:00,75.0,155.5,2.08,26.78,15.97,,12.85,1.19,79.42,0.45,5.52,29.72,57.25,0.45,98.75,16.0,717.75,-0.03,0.0,29.25,2.85
2017-03-02 02:00:00,2017-03-02 03:00:00,57.0,121.0,1.63,22.6,13.4,,14.97,1.09,73.27,0.4,5.53,29.23,58.33,0.43,98.67,16.0,717.67,0.0,0.0,28.8,2.1
2017-03-02 03:00:00,2017-03-02 04:00:00,64.75,136.0,1.75,18.88,11.45,,10.0,0.77,68.6,0.3,5.32,27.67,59.25,0.35,73.5,16.0,718.0,0.0,0.0,27.95,1.55
